method,topology,episode,steps,total_reward,max_utilization,average_utilization,delay,packet_loss,throughput,congested_links,failed_link,path_changes,final_path_changes,congestion_maintain,congestion_reroute,congestion_rate_limit,failure_no_action,failure_reroute,failure_isolate,active_demands
marl,Esnet.gml,1,10,2.598407415087768,2.0877577777777776,0.06285399934472934,33.982006942450454,0.15,473.03145,2,"(60, 61)",2,2,0,0,10,10,0,0,
marl,Esnet.gml,2,10,3.9193047140320836,1.0,0.03852759450372208,4.776983932467414,0.0,659.9508999999999,0,"(6, 10)",1,1,0,0,10,10,0,0,
marl,Esnet.gml,3,10,2.9858075031072793,1.7123244444444443,0.03812526736467236,15.897232241003486,0.05555555555555555,335.6667,1,"(43, 61)",1,1,0,0,10,10,0,0,
marl,Esnet.gml,4,10,2.305504297384599,5.091826666666666,0.10760999867521366,27.78969688054505,0.1,506.96599999999995,1,"(0, 62)",15,9,0,8,2,10,0,0,
marl,Esnet.gml,5,10,3.102734231570537,2.785455555555555,0.06162793289173788,14.513180496174877,0.05,567.0411999999999,1,"(60, 62)",0,0,0,0,10,10,0,0,
marl,Esnet.gml,6,10,3.340479238839555,1.0,0.01637359051282051,4.023703297441951,0.0,405.3881999999999,0,"(46, 51)",1,1,0,0,10,10,0,0,
marl,Esnet.gml,7,10,3.9213192669547547,1.0,0.02091292358974359,4.94751759046949,0.0,489.99369999999993,0,"(13, 61)",0,0,0,0,10,10,0,0,
marl,Esnet.gml,8,10,3.3941954061063533,1.9370222222222222,0.08588572669515669,17.281383318488448,0.05,1016.7468000000001,1,"(5, 6)",9,9,0,9,1,10,0,0,
marl,Esnet.gml,9,10,3.9244914963774975,1.0,0.0225912058974359,4.742449215653191,0.0,486.9956,0,"(16, 25)",1,1,0,0,10,10,0,0,
marl,Esnet.gml,10,10,3.920233464089492,1.0,0.026651003366418527,4.996639211100193,0.0,555.2574999999998,0,"(32, 51)",0,0,0,0,10,10,0,0,
shortest_path,Esnet.gml,1,1,0.0,2.982511111111111,0.08979142763532764,34.12771667481444,0.15,653.672,2,"(60, 61)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,2,1,0.0,1.0,0.05503942071960298,5.405395477931058,0.0,942.787,0,"(6, 10)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,3,1,0.0,2.446177777777778,0.05446466766381766,16.008523087484342,0.05555555555555555,469.88100000000003,1,"(43, 61)",0,0,0,0,0,0,0,0,9
shortest_path,Esnet.gml,4,1,0.0,5.375866666666666,0.10723388675213674,27.05058571379596,0.1,537.8779999999999,1,"(0, 62)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,5,1,0.0,3.979222222222222,0.08803990413105413,14.80998508434333,0.05,800.4159999999999,1,"(60, 62)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,6,1,0.0,1.0,0.02339084358974359,4.146553242535142,0.0,579.126,0,"(46, 51)",0,0,0,0,0,0,0,0,9
shortest_path,Esnet.gml,7,1,0.0,1.0,0.029875605128205127,5.135444458036405,0.0,699.991,0,"(13, 61)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,8,1,0.0,1.9370222222222222,0.08519072592592593,16.635620290590115,0.05,1106.6760000000002,1,"(5, 6)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,9,1,0.0,1.0,0.03227315128205128,4.915633416084638,0.0,695.7080000000001,0,"(16, 25)",0,0,0,0,0,0,0,0,10
shortest_path,Esnet.gml,10,1,0.0,1.0,0.03807286195202647,5.206386162362352,0.0,793.2249999999999,0,"(32, 51)",0,0,0,0,0,0,0,0,10
